transaction_id,amount,hour,account_age_days,transactions_last_hour,failed_transactions,distance_from_home,is_fraud
1,1407.8,20,457,3,0,46.58,0
2,10510.67,0,1127,2,0,30.35,0
3,2231.78,7,915,1,1,3.16,0
4,4613.81,4,420,1,0,13.25,1
5,2806.0,21,2234,1,3,20.82,0
6,390.46,2,2419,1,1,2.29,0
7,1120.64,13,131,2,4,5.18,0
8,5293.67,0,384,1,0,16.67,0
9,4861.45,6,953,0,2,35.62,0
10,230.79,16,2466,1,1,33.63,0
11,197.0,0,2299,1,1,13.56,0
12,3747.38,6,2933,4,0,35.07,0
13,342.5,20,2873,0,1,33.07,0
14,1584.85,17,1719,2,0,15.38,0
15,7964.85,7,1840,4,1,0.96,0
16,1671.17,18,1140,2,0,8.45,0
17,753.5,0,654,0,0,11.77,0
18,3642.26,22,1732,3,0,23.08,0
19,1005.75,10,1139,0,1,11.15,0
20,2016.82,4,882,3,0,21.03,0
21,1375.57,10,419,3,1,49.13,1
22,2152.89,2,1557,2,1,32.47,0
23,443.83,3,1471,1,2,35.88,0
24,2262.84,11,2473,1,2,25.53,0
25,1288.7,8,178,5,0,19.53,1
26,320.99,23,1882,1,0,31.95,0
27,3531.95,17,512,2,0,38.17,0
28,5675.87,12,323,2,0,1.41,0
29,839.1,17,1201,5,0,13.13,0
30,988.73,20,2534,0,1,14.31,0
31,9232.69,11,2365,2,1,5.95,0
32,5714.18,6,2886,1,0,30.54,0
33,3572.48,2,188,1,2,36.15,0
34,3582.22,21,934,2,2,16.03,0
35,2148.28,9,327,5,0,0.46,0
36,109.81,7,414,2,0,10.26,0
37,114.19,12,1139,2,0,0.69,0
38,267.63,14,2604,0,0,28.59,0
39,3043.61,11,667,3,1,0.85,0
40,9862.14,11,1456,3,0,12.71,0
41,2390.37,6,2746,2,2,11.54,0
42,1320.04,8,2875,1,0,51.87,0
43,124.74,21,2655,3,0,10.9,0
44,1525.01,2,2496,2,0,12.9,0
45,2098.32,20,701,2,0,10.95,0
46,8451.77,17,2987,3,0,16.22,0
47,1463.78,7,670,3,0,5.27,0
48,5590.58,14,1555,0,1,19.15,0
49,3579.47,8,2622,4,0,29.95,0
50,1596.24,22,2282,2,2,27.21,0
51,4213.9,7,2805,0,1,4.54,0
52,1478.97,10,230,0,1,33.98,0
53,8990.92,7,132,4,0,38.16,0
54,4676.49,10,1644,0,0,30.83,0
55,2392.38,8,272,3,0,27.28,0
56,263.57,6,2324,1,1,42.16,0
57,265.96,22,1289,3,3,25.74,0
58,353.64,6,2685,1,0,46.4,0
59,379.47,15,1621,0,1,24.85,0
60,1009.41,20,1880,3,1,16.78,0
61,2250.43,4,1085,1,0,15.49,0
62,3569.7,4,1011,4,0,24.96,0
63,6629.03,23,2300,2,0,27.48,0
64,242.77,17,1077,4,1,4.48,0
65,7254.9,23,2395,6,0,13.53,0
66,13092.83,13,2391,1,0,9.36,0
67,5537.74,12,1483,3,0,20.19,0
68,17084.62,7,567,4,0,21.05,1
69,9240.67,16,2022,2,1,21.65,0
70,4439.42,2,193,4,0,0.03,0
71,87.62,3,627,3,0,19.62,0
72,7035.18,20,656,3,1,43.89,0
73,477.25,21,1730,2,0,14.88,0
74,3010.46,19,261,1,0,23.06,0
75,494.28,12,1564,1,0,29.95,0
76,3303.87,19,1918,1,0,9.19,0
77,979.64,16,1030,1,0,13.68,0
78,2100.02,17,48,1,1,11.17,0
79,6204.4,21,2953,1,0,27.28,0
80,704.7,3,2793,2,0,30.15,0
81,4128.69,17,1093,0,0,26.53,0
82,2278.59,20,1394,0,0,21.23,0
83,833.08,3,1203,1,0,6.23,0
84,382.69,13,648,5,0,1.91,0
85,4104.65,14,14,1,0,42.91,0
86,1320.62,23,2948,3,0,11.19,0
87,525.49,8,2051,1,0,35.06,0
88,356.48,5,2080,4,0,28.69,0
89,7951.16,3,2562,2,1,0.27,0
90,832.84,9,2618,0,1,21.1,0
91,502.99,16,2495,2,0,2.96,0
92,4284.2,6,627,2,0,30.21,0
93,5326.82,11,662,1,2,16.73,0
94,5532.23,17,2173,1,0,11.89,0
95,538.33,0,2454,3,1,10.0,0
96,1863.48,10,2002,2,0,41.02,0
97,1453.0,0,459,3,1,2.5,0
98,2903.33,11,1260,3,0,6.99,0
99,4087.1,7,238,0,0,24.58,0
100,5165.42,7,2324,0,1,21.67,0
101,4788.02,2,351,1,1,42.72,0
102,870.25,23,1991,1,1,35.17,0
103,1859.72,2,2182,2,0,10.94,0
104,8069.97,4,526,4,0,15.94,0
105,1655.62,21,1947,4,2,65.77,0
106,168.95,17,677,2,0,25.48,0
107,2312.65,8,2162,2,1,9.81,0
108,582.16,19,1734,3,0,15.06,0
109,39.54,6,2209,1,1,0.98,0
110,2092.64,23,2826,1,1,11.71,0
111,688.77,6,2921,1,0,0.74,0
